packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
4,2026-06-22T16:45:52.682986000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
6,2026-06-22T16:45:53.092599000Z,QoS Data,133,34,-30,920,2,8,1,0,0,0,0,0,720,0
8,2026-06-22T16:45:53.094922000Z,QoS Data,133,34,-20,920,2,8,0,0,0,0,0,0,720,0
10,2026-06-22T16:45:53.100476000Z,QoS Data,115,34,-13,920,2,8,1,0,0,0,0,0,720,0
12,2026-06-22T16:45:53.102713000Z,QoS Data,115,34,-21,920,2,8,0,0,0,0,0,0,720,0
14,2026-06-22T16:45:53.151868000Z,QoS Data,112,34,-30,920,2,8,1,0,0,0,0,0,720,0
16,2026-06-22T16:45:53.154315000Z,QoS Data,112,34,-21,920,2,8,0,0,0,0,0,0,720,0
18,2026-06-22T16:45:53.504020000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
26,2026-06-22T16:45:54.321444000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
29,2026-06-22T16:45:55.142466000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
31,2026-06-22T16:45:55.959891000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
40,2026-06-22T16:45:56.780912000Z,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
46,2026-06-22T16:45:57.598353000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
47,2026-06-22T16:45:58.116384000Z,QoS Data,132,34,-21,920,2,8,1,0,0,0,0,0,720,0
49,2026-06-22T16:45:58.119119000Z,QoS Data,132,34,-22,920,2,8,0,0,0,0,0,0,720,0
52,2026-06-22T16:45:58.129056000Z,QoS Data,115,34,-23,920,2,8,0,0,1,0,0,0,720,0
54,2026-06-22T16:45:58.151899000Z,QoS Data,112,34,-21,920,2,8,1,0,0,0,0,0,720,0
56,2026-06-22T16:45:58.154452000Z,QoS Data,112,34,-22,920,2,8,0,0,0,0,0,0,720,0
58,2026-06-22T16:45:58.419369000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
60,2026-06-22T16:45:59.236792000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
63,2026-06-22T16:46:00.057825000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
64,2026-06-22T16:46:00.875244000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
65,2026-06-22T16:46:01.696281000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
68,2026-06-22T16:46:02.513693000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
69,2026-06-22T16:46:03.142630000Z,QoS Data,133,34,-22,920,2,8,1,0,0,0,0,0,720,0
71,2026-06-22T16:46:03.144743000Z,QoS Data,133,34,-22,920,2,8,0,0,0,0,0,0,720,0
73,2026-06-22T16:46:03.150092000Z,QoS Data,115,34,-31,920,2,8,1,0,0,0,0,0,720,0
75,2026-06-22T16:46:03.152764000Z,QoS Data,115,34,-22,920,2,8,0,0,0,0,0,0,720,0
76,2026-06-22T16:46:03.156001000Z,QoS Data,115,34,-22,920,2,8,0,0,1,0,0,0,720,0
78,2026-06-22T16:46:03.334717000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
79,2026-06-22T16:46:03.401930000Z,QoS Data,112,34,-20,920,2,8,1,0,0,0,0,0,720,0
82,2026-06-22T16:46:04.152151000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
86,2026-06-22T16:46:04.973166000Z,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,0
88,2026-06-22T16:46:05.790605000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
89,2026-06-22T16:46:06.611622000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
90,2026-06-22T16:46:07.429046000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
92,2026-06-22T16:46:08.172324000Z,QoS Data,132,34,-22,920,2,8,1,0,0,0,0,0,720,0
94,2026-06-22T16:46:08.174702000Z,QoS Data,132,34,-22,920,2,8,0,0,0,0,0,0,720,0
96,2026-06-22T16:46:08.180408000Z,QoS Data,115,34,-30,920,2,8,1,0,0,0,0,0,720,0
98,2026-06-22T16:46:08.182644000Z,QoS Data,115,34,-23,920,2,8,0,0,0,0,0,0,720,0
100,2026-06-22T16:46:08.250067000Z,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
102,2026-06-22T16:46:08.401922000Z,QoS Data,112,34,-20,920,2,8,1,0,0,0,0,0,720,0
